🇹🇼台灣新聞,#genre#
民視新聞,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
民視新聞,http://123.51.230.108:18663/.m3u8
MTV,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_1400.m3u8
東森財經新聞,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
中天新聞,https://manifest.googlevideo.com/api/manifest/hls_playlist/expire/1683889481/ei/6chdZIfaGome4QL27IL4Aw/ip/132.145.123.83/id/oIgbl7t0S_w.1/itag/96/source/yt_live_broadcast/requiressl/yes/ratebypass/yes/live/1/sgoap/gir%3Dyes%3Bitag%3D140/sgovp/gir%3Dyes%3Bitag%3D137/hls_chunk_host/rr5---sn-oguelney.googlevideo.com/playlist_duration/30/manifest_duration/30/vprv/1/playlist_type/DVR/mh/Qu/mm/44/mn/sn-oguelney/ms/lva/mv/u/mvi/5/pl/24/dover/11/pacing/0/keepalive/yes/fexp/24007246/mt/1683867073/sparams/expire,ei,ip,id,itag,source,requiressl,ratebypass,live,sgoap,sgovp,playlist_duration,manifest_duration,vprv,playlist_type/sig/AOq0QJ8wRAIgCJYdJ5h_heO5bGNQ6MYfMqmSfaM19LQNtExEjWUwIisCID8JORvUIPt4FXfsFdajjKOnW7OcxQMZZgOntj7EIoI0/lsparams/hls_chunk_host,mh,mm,mn,ms,mv,mvi,pl/lsig/AG3C_xAwRgIhAI55JttZnldTPrreKIwBqIPy2IFArvMyZSxCRgJrwGwwAiEA-2SLlNnIAgn02JYbclbe1NSoaQ7uVuzcnNhLlCXleqI%3D/playlist/index.m3u8
鏡新聞,https://ytm2.yuanhsing.cf/mnews.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
TVBS新聞,https://ytm2.yuanhsing.cf/TVBSNEWS01.m3u8
中視新聞,https://ytm2.yuanhsing.cf/twctvnews.m3u8
TVBS新聞,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
民視新聞,https://ytm2.yuanhsing.cf/FTVCP.m3u8
三立新聞,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立新聞,http://123.51.230.64:18543/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
寰宇新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
雲林新聞網,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
TVBS新聞,rtmp://119.81.124.89/sat/tv551
民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
